ID,message,sentence,filename,wav,duration
8596,tavo ayihun tɔn ɖé ɖò ɖisixwé,une table de jeu à droite,8596,/users/fkponou/data/for_asr/fongbe_one/8596.wav,2.82
8597,enɛ wu ɔ un ɖeji dó wǔ we bo ɖè huzuhuzu ce sín mɛ,je vous fais donc confiance et je retire mon amendement,8597,/users/fkponou/data/for_asr/fongbe_one/8597.wav,5.89
8598,mi kɛnklɛn bo na mì avɔkanfún ɖé,passez-moi une serviette s'il vous plait,8598,/users/fkponou/data/for_asr/fongbe_one/8598.wav,4.27
8599,boulevard du sud ɖò numɛro ko-we,boulevard du sud au numéro vingt-deux,8599,/users/fkponou/data/for_asr/fongbe_one/8599.wav,4.52
8600,ée hwi ɖokpónɔ géé wɛ un ɖó,hélas  je n'ai plus que vous,8600,/users/fkponou/data/for_asr/fongbe_one/8600.wav,5.46
8601,ma sɔ́ ɖò adohu adohu jí ó,ne vous préoccupez plus,8601,/users/fkponou/data/for_asr/fongbe_one/8601.wav,2.9
8603,a ɖò wuvɛ̌ sè wɛ ǎ a sixu lin tamɛ dó nǔɖuɖu jí,tu ne souffres pas toi  tu peux songer à manger ,8603,/users/fkponou/data/for_asr/fongbe_one/8603.wav,5.21
8605,six b rue georges guynemer zéro ɖokpo zéro zéro zéro bourg-en-bresse,six b rue georges guynemer zéro un zéro zéro zéro bourg-en-bresse,8605,/users/fkponou/data/for_asr/fongbe_one/8605.wav,8.02
8607,ðó takwɛ ɖò jijɛji wɛ nǔ gudogudo tɔn ɔ nǔjlɛdonǔwu lɛ,parce que les impôts augmentent  dernier point les simulations,8607,/users/fkponou/data/for_asr/fongbe_one/8607.wav,7.08
8608,gbɛ̌ta udi tɔn ɔ jló na súnsún xota elɔ ɖó hwɛjijɔ gegě wu,le groupe udi propose de supprimer cet article pour plusieurs raisons,8608,/users/fkponou/data/for_asr/fongbe_one/8608.wav,6.23
8609,hɔn ɔ́ kpó ɖo nuvo,la grille resta entre-bâillée,8609,/users/fkponou/data/for_asr/fongbe_one/8609.wav,1.88
8611,hlɔnhlɔn toxóɖiɖɔ tɔn lɛ sín jlɛ̌jininɔ nyí ɖokpo ɔ,le rapport des forces politiques était le même,8611,/users/fkponou/data/for_asr/fongbe_one/8611.wav,5.02
8612,rue d'alger kanɖé gban-nukún-we,soixante-dix-sept rue d'alger,8612,/users/fkponou/data/for_asr/fongbe_one/8612.wav,2.9
8613,nǔ e xóɖɔtɔ́ ɔ ɖɔ é sɔgbe ɖò sɛ́n linu ǎ bǐ mlɛ́mlɛ́,ce qu'a dit monsieur le rapporteur est complètement inexact juridiquement,8613,/users/fkponou/data/for_asr/fongbe_one/8613.wav,9.56
8614,è na xó ɔ madame cécile untermaier bo na dó nɔ gudo nú ɖyɔɖyɔ numɛro kanwe ɛnɛgɔ́ ɔ,la parole est à madame cécile untermaier pour soutenir l'amendement numéro quatre cent quatre,8614,/users/fkponou/data/for_asr/fongbe_one/8614.wav,11.69
8615,sɛ́n ɔ́ wɛ ɖɔ mɔ̌,c'est la loi qui le dit,8615,/users/fkponou/data/for_asr/fongbe_one/8615.wav,3.24
8618,rue de l'abbé trapet ɖò numɛro atɔ́ɔ́ngɔ́ ɔ mɛ,rue de l'abbé trapet au numéro cinq,8618,/users/fkponou/data/for_asr/fongbe_one/8618.wav,5.12
8619,a na mɔ bɔ ye na wá,vous allez les voir arriver ,8619,/users/fkponou/data/for_asr/fongbe_one/8619.wav,1.76
8621,zǎnmɛ xɔ ɖé ɖò toxo ɔ mɛ à,il y a une boîte de nuit en ville ,8621,/users/fkponou/data/for_asr/fongbe_one/8621.wav,3.81
8625,mǐ sɔ́ sixú ganjɛ nǔ ɖěbǔ wú ǎ,on ne peut plus compter sur rien,8625,/users/fkponou/data/for_asr/fongbe_one/8625.wav,7.0
8626,è ko gbɛ́ nǔ nú mì kpɔ́n ǎ,je n'ai jamais été grondé,8626,/users/fkponou/data/for_asr/fongbe_one/8626.wav,3.34
8627,è jó kɛkɛví ɔ dó ɖò ali jí,la bicyclette est abandonnée dans la rue,8627,/users/fkponou/data/for_asr/fongbe_one/8627.wav,4.52
8629,ðò amyɔxwé ɖò zogbɛ́n ɔ kpo tavo ɔ kpo tɛntin ɔ poof ɖé,à gauche entre la cheminée et la table un pouff,8629,/users/fkponou/data/for_asr/fongbe_one/8629.wav,6.91
8630,gbɔn jǐ ce,comptez sur moi,8630,/users/fkponou/data/for_asr/fongbe_one/8630.wav,3.07
8631,ðò gudo ɔ zan e è sú kpo xɔmɛgbovɔ kpo é sinnugannú kpo nǔzinzan tɔn lɛ kpo,au fond lit fermé par des rideaux  lavabo avec ses ustensiles,8631,/users/fkponou/data/for_asr/fongbe_one/8631.wav,9.1
8632,kanwe ko-nukún-atɔn,deux cent quatre-vingt-trois,8632,/users/fkponou/data/for_asr/fongbe_one/8632.wav,2.22
8633,a zé nǔ e nɔ kpɔ́n nǔ zɛ xwé wu é à ,tu as pris la lorgnette ,8633,/users/fkponou/data/for_asr/fongbe_one/8633.wav,5.67
8634,é ɖɔ nǔ bǐ nú mì a sè à  hwe elɔ nu ɔ albert wá gbeta ɔ kɔn bo na ɖɔ xó,elle m'a tout dit entendez-vous  cette fois albert se décida à parler,8634,/users/fkponou/data/for_asr/fongbe_one/8634.wav,9.73
8635,é xɔ akwɛ mɔ̌ à ,c'est si cher que ça ,8635,/users/fkponou/data/for_asr/fongbe_one/8635.wav,2.56
8636,ali ɛnɛ e ɖò fréres challe mɛ lɛ é,quatre rue des frères challe,8636,/users/fkponou/data/for_asr/fongbe_one/8636.wav,4.18
8637,nǔ e è bló bɔ é bɔkun é elɔ na hɛn lè wá tawun,cet amendement de simplification serait très utile,8637,/users/fkponou/data/for_asr/fongbe_one/8637.wav,4.01
8638,gayathli ɖo te kpɔn we wɛ a ,gayathri est en train de vous attendre ,8638,/users/fkponou/data/for_asr/fongbe_one/8638.wav,3.5
8640,bɔ kpo gbè kpɛví ɖé kpo bo mɔ nukúnnú jɛ yeɖée mɛ ɖò xógbe ɖokpo mɛ bo kpó ɖò xó ɖɔ wɛ,et à demi-voix se comprenant d'un mot ils continuèrent,8640,/users/fkponou/data/for_asr/fongbe_one/8640.wav,16.98
8641,mɛ̌ sín nǔwlanwlán élɔ́ ka nyí,de qui est cette écriture ,8641,/users/fkponou/data/for_asr/fongbe_one/8641.wav,3.33
8642,enɛ ɔ ɖɔ un ɖe hwɛɖiɖɔ ce sin mɛ,cela dit je retire mon amendement,8642,/users/fkponou/data/for_asr/fongbe_one/8642.wav,4.95
8644,é sixú nyí mɔ̌,c'est bien possible,8644,/users/fkponou/data/for_asr/fongbe_one/8644.wav,2.05
8646,tɛ́n kpɔ́n bo ɖó awǎjijɛ yí wǎn nú mɛ ɖevo ɛɛn é na nyɔ́ nukún ce mɛ,tâchez d'être heureuse aimez-en un autre  oui ça me fera plaisir,8646,/users/fkponou/data/for_asr/fongbe_one/8646.wav,7.85
8647,mɛ e ɖó xɔ afatɔ́n kanwe ko-nukún-ɛnɛ 189 ɖò xɔ tɔn kpá é xɔ ɖaxó ɖokpó géé e nɔ w'azɔ̌ é,qui avait en mille huit cent quatre-vingt-dix-neuf proche de sa chambre une seule grande pièce fonctionnelle,8647,/users/fkponou/data/for_asr/fongbe_one/8647.wav,10.75
8650,towe wɛ,c'est le tien,8650,/users/fkponou/data/for_asr/fongbe_one/8650.wav,2.13
8651,sɔ́ nɔví nyɔnu ce  un jló ná kú ɖò fí  é ɖɔ nú roxane yi la korigani,emmenez ma tante  moi je veux mourir ici  a roxane partez  la korigane,8651,/users/fkponou/data/for_asr/fongbe_one/8651.wav,7.85
8654,guillaume ajijimɛ ɔ é sè bɔ salvat sín nukún ɖò nukún tɔn lɛ jí,guillaume tout d'un coup sentit les yeux de salvat sur ses yeux,8654,/users/fkponou/data/for_asr/fongbe_one/8654.wav,7.34
8655,é kpɔ́n ɖyɔvǐ élɔ́ kpódó linlin ɖagbe ɖé kpó,il regardait cette fille avec un sentiment de bien-être,8655,/users/fkponou/data/for_asr/fongbe_one/8655.wav,4.18
8656,un ɖó xwe ko-nukún-ɖokpó,j'ai vingt-six ans,8656,/users/fkponou/data/for_asr/fongbe_one/8656.wav,3.58
8657,un ɖo nɔvi sunnu we kpodo nɔvi nyɔnu ɖokpo kpo,j'ai deux frères et une sœur,8657,/users/fkponou/data/for_asr/fongbe_one/8657.wav,5.63
8660,mi nu mi na yawu vi ce lɛ,dépêchons-nous mes enfants ,8660,/users/fkponou/data/for_asr/fongbe_one/8660.wav,3.07
8661,è ko sɔ́ azɔ̌xɔsa ɔ jó nú aklunɔ després ɖɔ é ni kpé nukún dó wǔ tɔn,la direction avait été confiée aux soins de monsieur després,8661,/users/fkponou/data/for_asr/fongbe_one/8661.wav,9.98
8663,o xɔ́ntɔn ce gbɔ nú má yi kpé mɛ e jǎwe lɛ́ɛ,oh  mon ami laissez-moi aller au-devant de ceux qui viennent,8663,/users/fkponou/data/for_asr/fongbe_one/8663.wav,5.38
8666,nǔ e a ɖyɔ é hɛn lè wá ǎ,votre amendement n'est pas utile,8666,/users/fkponou/data/for_asr/fongbe_one/8666.wav,2.65
8667,alɔkpa ɖò azinkpo ɖé lɛ jí ɖò gbɛ̌ta rem tɔn mɛ è na xó ɔ damien abad,applaudissements sur quelques bancs du groupe rem la parole est à monsieur damien abad,8667,/users/fkponou/data/for_asr/fongbe_one/8667.wav,14.25
8668,mɛxó hugǎn ɔ,la plus vieille,8668,/users/fkponou/data/for_asr/fongbe_one/8668.wav,1.71
8670,nǔ e è ɖyɔ é elɔ ɖó tinmɛ ɖagbe,cet amendement est de bon sens,8670,/users/fkponou/data/for_asr/fongbe_one/8670.wav,4.86
