ID,message,sentence,filename,file_path,duration
8596,tavo ayihun tɔn ɖe ɖo ɖisixwe,une table de jeu à droite,8596,/users/fkponou/data/for_asr/fongbe_one/8596.wav,2.82
8597,enɛ wu ɔ un ɖeji do wu we bo ɖe huzuhuzu ce sin mɛ,je vous fais donc confiance et je retire mon amendement,8597,/users/fkponou/data/for_asr/fongbe_one/8597.wav,5.89
8598,mi kɛnklɛn bo na mi avɔkanfun ɖe,passez-moi une serviette s'il vous plait,8598,/users/fkponou/data/for_asr/fongbe_one/8598.wav,4.27
8599,boulevard du sud ɖo numɛro ko-we,boulevard du sud au numéro vingt-deux,8599,/users/fkponou/data/for_asr/fongbe_one/8599.wav,4.52
8600,ee hwi ɖokponɔ gee wɛ un ɖo,hélas  je n'ai plus que vous,8600,/users/fkponou/data/for_asr/fongbe_one/8600.wav,5.46
8601,ma sɔ ɖo adohu adohu ji o,ne vous préoccupez plus,8601,/users/fkponou/data/for_asr/fongbe_one/8601.wav,2.9
8603,a ɖo wuvɛ se wɛ a a sixu lin tamɛ do nuɖuɖu ji,tu ne souffres pas toi  tu peux songer à manger,8603,/users/fkponou/data/for_asr/fongbe_one/8603.wav,5.21
8605,six b rue georges guynemer zero ɖokpo zero zero zero bourg-en-bresse,six b rue georges guynemer zéro un zéro zéro zéro bourg-en-bresse,8605,/users/fkponou/data/for_asr/fongbe_one/8605.wav,8.02
8607,ðo takwɛ ɖo jijɛji wɛ nu gudogudo tɔn ɔ nujlɛdonuwu lɛ,parce que les impôts augmentent  dernier point les simulations,8607,/users/fkponou/data/for_asr/fongbe_one/8607.wav,7.08
8608,gbɛta udi tɔn ɔ jlo na sunsun xota elɔ ɖo hwɛjijɔ gege wu,le groupe udi propose de supprimer cet article pour plusieurs raisons,8608,/users/fkponou/data/for_asr/fongbe_one/8608.wav,6.23
8609,hɔn ɔ kpo ɖo nuvo,la grille resta entre-bâillée,8609,/users/fkponou/data/for_asr/fongbe_one/8609.wav,1.88
8611,hlɔnhlɔn toxoɖiɖɔ tɔn lɛ sin jlɛjininɔ nyi ɖokpo ɔ,le rapport des forces politiques était le même,8611,/users/fkponou/data/for_asr/fongbe_one/8611.wav,5.02
8612,rue d'alger kanɖe gban-nukun-we,soixante-dix-sept rue d'alger,8612,/users/fkponou/data/for_asr/fongbe_one/8612.wav,2.9
8613,nu e xoɖɔtɔ ɔ ɖɔ e sɔgbe ɖo sɛn linu a bi mlɛmlɛ,ce qu'a dit monsieur le rapporteur est complètement inexact juridiquement,8613,/users/fkponou/data/for_asr/fongbe_one/8613.wav,9.56
